hankjønn	masculine
å hente	to pick up<br>henter, hentet, har hentet
to pick up	å hente<br>henter, hentet, har hentet
hjemme	at home (static)
at home (static)	hjemme
en hybel	a bed-sitter, lodgings<br>hybelen, hybler, hyblene
a bed-sitter, lodgings	en hybel<br>hybelen, hybler, hyblene
høy	tall, loud, high<br>høyt, høye
tall, loud, high	høy<br>høyt, høye
inne	in, inside
in, inside	inne
et instrument	an instrument<br>instrumentet, instrumenter, instrumentene
an instrument	et instrument<br>instrumentet, instrumenter, instrumentene
ei inventarliste	a list of furniture, inventory<br>inventarlista, inventarlister, inventarlistene
a list of furniture, inventory	ei inventarliste<br>inventarlista, inventarlister, inventarlistene
en jus	a juice<br>jusen, juser, jusene
a juice	en jus<br>jusen, juser, jusene
en italiener	an Italian<br>italieneren, italienere, italienerne
an Italian	en italiener<br>italieneren, italienere, italienerne
kjempeflink	very good, clever<br>kjempeflinkt, kjempeflinke
very good, clever	kjempeflink<br>kjempeflinkt, kjempeflinke
kjempesulten	very hungry<br>kjempesultent, kjempesultne
very hungry	kjempesulten<br>kjempesultent, kjempesultne
et kjøkken	chjöcken<br>a kitchen<br>kjøkkenet, kjøkken/-er, kjøkkenene
a kitchen	et kjøkken<br>chjöcken<br>kjøkkenet, kjøkken/-er, kjøkkenene
en kjøkkenbenk	a workbench<br>kjøkkenbenken, kjøkkenbenker, kjøkkenbenkene
a workbench	en kjøkkenbenk<br>kjøkkenbenken, kjøkkenbenker, kjøkkenbenkene
et kjøleskap	a refrigerator<br>kjøleskapet, kjøleskap, kjøleskapene
a refrigerator	et kjøleskap<br>kjøleskapet, kjøleskap, kjøleskapene
å kle seg	to dress<br>kler seg, kledde seg, har kledd seg
to dress	å kle seg<br>kler seg, kledde seg, har kledd seg
å koke	to boil<br>koker, kokte, har kokt
to boil	å koke<br>koker, kokte, har kokt
en kontrakt	a contract<br>kontrakten, kontrakter, kontraktene
a contract	en kontrakt<br>kontrakten, kontrakter, kontraktene
å lage	to make<br>lager, lagde, har lagd
to make	å lage<br>lager, lagde, har lagd
å legge	to lay, put<br>legger, la, har lagt
to lay, put	å legge<br>legger, la, har lagt
ei liste	a list<br>lista, lister, listene
a list	ei liste<br>lista, lister, listene
en lyst	a wish, desire, inclination<br>lysten, lyster, lystene
a wish, desire, inclination	en lyst<br>lysten, lyster, lystene
lyst på (å ha lyst på noe)	wanting something
wanting something	lyst på (å ha lyst på noe)
mat	food<br>maten (uncountable)
food	mat<br>maten (uncountable)
melk	milk<br>melken (uncountable)
milk	melk<br>melken (uncountable)
et mobilnummer	a cell phone number<br>mobilnummeret, mobilnummer/mobilnumre, mobilnumbrene
a cell phone number	et mobilnummer<br>mobilnummeret, mobilnummer/mobilnumre, mobilnumbrene
en mobiltelefon	a mobile phone<br>mobiltelefonen, mobiltelefoner, mobiltelefonene
a mobile phone	en mobiltelefon<br>mobiltelefonen, mobiltelefoner, mobiltelefonene
moderne	modern<br>moderne, moderne
modern	moderne<br>moderne, moderne
ei mor	a mother<br>mora, mødre, mødrene
a mother	ei mor<br>mora, mødre, mødrene
musikk	music<br>musikken (uncountable)
music	musikk<br>musikken (uncountable)
et møbel	a piece of furniture<br>møbelet, møbler, møblene
a piece of furniture	et møbel<br>møbelet, møbler, møblene
nr	no.
no.	nr
et pass	a passport<br>passet, pass, passene
a passport	et pass<br>passet, pass, passene
et piano	a piano<br>pianoet, pianoer, pianoene
a piano	et piano<br>pianoet, pianoer, pianoene
å pusse	to brush<br>pusser, pusset, har pusset
to brush	å pusse<br>pusser, pusset, har pusset
en resepsjonist	a receptionist<br>resepsjonisten, resepsjonister, resepsjonistene
a receptionist	en resepsjonist<br>resepsjonisten, resepsjonister, resepsjonistene
et rom	rum<br>a room<br>rommet, rom, rommene
a room	et rom<br>rum<br>rommet, rom, rommene
salami	salami<br>salamien (uncountable)
salami	salami<br>salamien (uncountable)
seg	sai<br>himself, herself, itself, oneself, themselves
himself, herself, itself, oneself, themselves	seg<br>sai
å sette	to put, place, set<br>setter, satte, har satt
to put, place, set	å sette<br>setter, satte, har satt
å sette seg	to sit down<br>setter seg, satte seg, har satt seg
to sit down	å sette seg<br>setter seg, satte seg, har satt seg
å si	to say<br>sier, sa, har sagt
to say	å si<br>sier, sa, har sagt
en sjokolade	a chocolate<br>sjokoladen, sjokolader, sjokoladene
a chocolate	en sjokolade<br>sjokoladen, sjokolader, sjokoladene
ei skive	a slice<br>skiva, skiver, skivene
a slice	ei skive<br>skiva, skiver, skivene
et skjema	a form<br>skjemaet, skjema, skjemaene
a form	et skjema<br>skjemaet, skjema, skjemaene
å skrive	to write<br>skriver, skrev skrevet
to write	å skrive<br>skriver, skrev skrevet
å skrive under	to sign<br>skriver under, skrev under, har skrevet under
to sign	å skrive under<br>skriver under, skrev under, har skrevet under
spennende	exciting<br>spennende, spennende
exciting	spennende<br>spennende, spennende
å spille	to play (specific games/instruments)<br>spiller, spilte, har spilt
to play (specific games/instruments)	å spille<br>spiller, spilte, har spilt
å stave	to spell<br>staver, stavet, har stavet
to spell	å stave<br>staver, stavet, har stavet
stille	quiet
quiet	stille
stor	big<br>stort, store
big	stor<br>stort, store
a stå opp	to get up<br>står opp, sto opp, har stått opp
to get up	a stå opp<br>står opp, sto opp, har stått opp
super	super<br>supert, supre
super	super<br>supert, supre
et søsken	a brother or sister, sibling<br>søskenet, søsken, søsknene
a brother or sister, sibling	et søsken<br>søskenet, søsken, søsknene
ei søster	a sister<br>søst(e)ra, søstre, søstrene<br>better don't put e in søstra
a sister	ei søster<br>søst(e)ra, søstre, søstrene<br>better don't put e in søstra
så fint (...)!	what a nice (...)!
what a nice (...)!	så fint (...)!
et tall	a figure, number<br>tallet, tall, tallene
a figure, number	et tall<br>tallet, tall, tallene
ei tann	a tooth<br>tanna, tenner, tennene
a tooth	ei tann<br>tanna, tenner, tennene
te	tea<br>teen (uncountable)
tea	te<br>teen (uncountable)
å tenke	to think<br>tenker, tenkte, har tenkt
to think	å tenke<br>tenker, tenkte, har tenkt
ei trapp	a staircase, stairs<br>trappa, trapper, trappene
a staircase, stairs	ei trapp<br>trappa, trapper, trappene
å treffe	to meet<br>treffer, traff, har truffet
to meet	å treffe<br>treffer, traff, har truffet
å tørke	to dry<br>tørker, tørket, har tørket
to dry	å tørke<br>tørker, tørket, har tørket
under	under, below
under, below	under
ut	out
out	ut
ute	out, outside (dynamic)
out, outside (dynamic)	ute
utstyr	equipment<br>utstyret, utstyr, utstyrene
equipment	utstyr<br>utstyret, utstyr, utstyrene
vann	water<br>vannet (uncountable)
water	vann<br>vannet (uncountable)
en vannkoker	vannkuker<br>a kettle<br>vannkokeren, vannkokere, vannkokerne
a kettle	en vannkoker<br>vannkuker<br>vannkokeren, vannkokere, vannkokerne
ved siden av	beside (at the side of)
beside (at the side of)	ved siden av
vet (å vite)	know (present tense)
know (present tense)	vet (å vite)
et vindu	a window<br>vinduet, vinduer, vinduene
a window	et vindu<br>vinduet, vinduer, vinduene
å vite	to know<br>vet, visste, har visst
to know	å vite<br>vet, visste, har visst
en skyss	used for taxi (jeg får skyss=I'll take the taxi/somebody gives me a lift)<br>fahrgelegenheit
used for taxi (jeg får skyss=I'll take the taxi/somebody gives me a lift)<br>fahrgelegenheit	en skyss
vent litt/kan du vente to sekunder	wait a minute<br>more used than øyeblikk in everyday life
wait a minute	vent litt/kan du vente to sekunder<br>more used than øyeblikk in everyday life
mett	full (not hungry)
full (not hungry)	mett
et kvarter	quarter an hour
quarter an hour	et kvarter
gå til	walk to
walk to	gå til
gå på + aktivitet (konserter)	to go to a concert
to go to a concert	gå på + aktivitet (konserter)
på Moholt (studentby)	to Moholt (student village)
to Moholt (student village)	på Moholt (studentby)
i sentrum / i Midtbyen (only used in Trondheim)	to the city centre
to the city centre	i sentrum / i Midtbyen (only used in Trondheim)
Jeg borr på en liten hybel	I live in a small room/apartment.
I live in a small room/apartment.	Jeg borr på en liten hybel
Det er ei seng bak bordet.<br>Det står, er, ligger + Objekt + Location	There is a door ... like sentences<br>Den har ei dør is not often used.
There is a door ... like sentences	Det er ei seng bak bordet.<br>Det står, er, ligger + Objekt + Location<br>Den har ei dør is not often used.
I hjørnet står det et skap.	In the corner stands a cabinet.
In the corner stands a cabinet.	I hjørnet står det et skap.
Han er datatekniker.	He's a computer scientist.<br>noun+noun => compound noun!
He's a computer scientist.	Han er datatekniker.<br>noun+noun => compound noun!
et søskenbarn	a cousin
a cousin	et søskenbarn
en bestefar	a grandfather
a grandfather	en bestefar
ei bestemor	a grandmother
a grandmother	ei bestemor
en fetter	a cousin (masculin, precise)
a cousin (masculin, precise)	en fetter
ei kusine	a cousine (feminine, precise)
a cousine (feminine, precise)	ei kusine
en kjæreste	a girl/boyfriend
a girl/boyfriend	en kjæreste
ei kone	a wife
a wife	ei kone
en mann	a husband / a man<br>mannen, mange menn, alle mennene
a husband / a man	en mann<br>mannen, mange menn, alle mennene
en samboer	not married, but like husband/wife
not married, but like husband/wife	en samboer
Faren min	my father
my father	Faren min
Mora mi	my mother
my mother	Mora mi
Søskenbarnet mitt	my cousin
my cousin	Søskenbarnet mitt
Brødrene mine	my brothers
my brothers	Brødrene mine
søstrene mine	my sisters
my sisters	søstrene mine
søskenbarna mine	my cousins
my cousins	søskenbarna mine
et barn	a child<br>barnet, to barn, alle barna
a child	et barn<br>barnet, to barn, alle barna
min far	my father<br>formal, old fashioned and if you want to focus on "my"
my father	min far<br>formal, old fashioned and if you want to focus on "my"
mi mor	my mother<br>old fashioned, focusing on "my"
my mother	mi mor<br>old fashioned, focusing on "my"
hans	his
his	hans
mi	my (feminine)
my (feminine)	mi
min	my (masculine)
my (masculine)	min
mitt	my (neutral)
my (neutral)	mitt
din	your (masculine)
your (masculine)	din
di	your (feminine)
your (feminine)	di
ditt	your (neutral)
your (neutral)	ditt
foreldre	parents
parents	foreldre
farfar	grandfather (father's father)
grandfather (father's father)	farfar
farmor	grandmother
grandmother	farmor
en pensjonist	a retired person
a retired person	en pensjonist
hverandre	each other
each other	hverandre
begge	both
both	begge
en onkler	an uncle
an uncle	en onkler
som.<br>Jeg har ei søstre som er tjue år.	who (in a relative sentence)<br>I have a sister who's twenty years old.
who (in a relative sentence)<br>I have a sister who's twenty years old.	som.<br>Jeg har ei søstre som er tjue år.
dessuten (har jeg)	besides (I have)
besides (I have)	dessuten (har jeg)
alene	alone
alone	alene
siden	since
since	siden
døde	died
died	døde
hele (familien)	whole (family)
whole (family)	hele (familien)
å kle på seg	to dress
to dress	å kle på seg
min gitar - gitaren min	my guitar
my guitar	min gitar - gitaren min
Marias gitar - Gitaren til Maria	Maria's guitar
Maria's guitar	Marias gitar - Gitaren til Maria
Hennes gitar - gitaren hennes.	Her guitar
Her guitar	Hennes gitar - gitaren hennes.
Jeg vasker meg	I'm washing myself.
I'm washing myself.	Jeg vasker meg
Du vasker deg.	You're washing yourself.
You're washing yourself.	Du vasker deg.
Han/Hun/Det/Den vasker seg.	He/She/It washes him/her/itself.
He/She/It washes him/her/itself.	Han/Hun/Det/Den vasker seg.
Han vasker han.	He's washing him (another person).
He's washing him (another person).	Han vasker han.
Vi vasker oss.	We wash ourselves.
We wash ourselves.	Vi vasker oss.
Dere vasker dere.	They wash themselves.
They wash themselves.	Dere vasker dere.
De vasker seg.	They wash themselves.
They wash themselves.	De vasker seg.
å glede seg til	to look forward to
to look forward to	å glede seg til
å tørke seg	to dry oneself<br>tørker seg, tørket seg, har tørket seg
to dry oneself	å tørke seg<br>tørker seg, tørket seg, har tørket seg
å reise seg	to rise/get up
to rise/get up	å reise seg
å legge seg	to lie down
to lie down	å legge seg
ei skinke	schingge<br>a ham<br>skinka, skinker, skinkene
a ham	ei skinke<br>schingge<br>skinka, skinker, skinkene
et glass melk	a glass of milk
a glass of milk	et glass melk
en kopp te	a cup of tea
a cup of tea	en kopp te
en kopp kaffe	a cup of coffee
a cup of coffee	en kopp kaffe
et glass vann	a glass of water
a glass of water	et glass vann
en banan	a banana
a banana	en banan
et kakestykke	a piece of cake
a piece of cake	et kakestykke
et glass brus	a glass of soda
a glass of soda	et glass brus
ei brødskive	brödschive<br>a slice of bread<br>brødskiva, brødskiver, brødskivene
a slice of bread	ei brødskive<br>brödschive<br>brødskiva, brødskiver, brødskivene
ei pære	a pear
a pear	ei pære
syltetøy	sültetöy<br>jam
jam	syltetøy<br>sültetöy
appelsinjus	appelsinjüs<br>orange juice
orange juice	appelsinjus<br>appelsinjüs
et rundstykke	a piece of bread (not sweet) / brötchen
a piece of bread (not sweet) / brötchen	et rundstykke
boller	a piece of bread (sweet)
a piece of bread (sweet)	boller
grønnsaker	vegetables
vegetables	grønnsaker
kjøtt	meat
meat	kjøtt
fisk	fish
fish	fisk
en ost	ust<br>a cheese<br>osten, oster, ostene
a cheese	en ost<br>ust<br>osten, oster, ostene
