mandag	monday
en ettermiddag	an afternoon
an afternoon	en ettermiddag
etterpå	afterwards
afterwards	etterpå
å finne	to find<br>finner, fant, har funnet
to find	å finne<br>finner, fant, har funnet
flott	great, good
great, good	flott
en flybuss	an airport express coach
an airport express coach	en flybuss
for	for<br>for
for	for<br>for
forbi	forbi<br>past, by
past, by	forbi<br>forbi
fram	forth, forward, on
forth, forward, on	fram
først	first
first	først
å få	to get, receive<br>får, fikk, har fått
to get, receive	å få<br>får, fikk, har fått
gjerne	would like
would like	gjerne
å gå	gor, jik, har gott<br>to walk<br>går, gikk, har gått
to walk	å gå<br>gor, jik, har gott<br>går, gikk, har gått
halv	hal<br>half
half	halv<br>hal
hei	hi
hi	hei
en hjelp	a help
a help	en hjelp
å hjelpe	yelpe<br>to help<br>hjelper, hjalp, har hjulpet
to help	å hjelpe<br>yelpe<br>hjelper, hjalp, har hjulpet
en kafé	a café
a café	en kafé
en kaffe	short e<br>a coffee
a coffee	en kaffe<br>short e
kan (å kunne)	can, be able to
can, be able to	kan (å kunne)
å kjøpe	to buy
to buy	å kjøpe
et kjøpesenter	a shopping mall
a shopping mall	et kjøpesenter
å kjøre	chjöre<br>to drive
to drive	å kjøre<br>chjöre
klokka er	the time is
the time is	klokka er
ei klokke	a clock/watch
a clock/watch	ei klokke
en kopp	a cup
a cup	en kopp
å kunne	(the infinitive of) can, to be able to<br>kan, kunnet, har kunnet
(the infinitive of) can, to be able to	å kunne<br>kan, kunnet, har kunnet
kvart (over)	a quarter (past)
a quarter (past)	kvart (over)
å lande	to land<br>lander, landet, har landet
to land	å lande<br>lander, landet, har landet
en mandag	a monday
a monday	en mandag
å måtte	to have to, must<br>må, måtte, har måttet
to have to, must	å måtte<br>må, måtte, har måttet
ni	nine
nine	ni
noen (en) / noe (et+ei)	nuuen<br>some, somebody, any, anybody
some, somebody, any, anybody	noen (en) / noe (et+ei)<br>nuuen
et nummer	nummer<br>a number
a number	et nummer<br>nummer
når	when
when	når
oss	us
us	oss
en overgang	a transition
a transition	en overgang
å parkere	to park<br>parkerer, parkerte, har parkert
to park	å parkere<br>parkerer, parkerte, har parkert
en parkeringsplass	a parking lot
a parking lot	en parkeringsplass
en resepsjon	resepschun<br>a reception
a reception	en resepsjon<br>resepschun
rett	straight, directly (also correct)
straight, directly (also correct)	rett
å rope	ruupe<br>to call, cry, shout
to call, cry, shout	å rope<br>ruupe
å se	oa se<br>to see<br>ser, så, har sett
to see	å se<br>oa se<br>ser, så, har sett
selvfølgelig/selvsagt	of course
of course	selvfølgelig/selvsagt
en sentralstasjon	a central station
a central station	en sentralstasjon
et sentrum	a centre
a centre	et sentrum
å sjekke	to check<br>sjekker, sjekket, har sjekket
to check	å sjekke<br>sjekker, sjekket, har sjekket
skal (å skulle)	will, shall
will, shall	skal (å skulle)
et skilt	schilt<br>a sign, signpost
a sign, signpost	et skilt<br>schilt
å skulle	will, shall (infinitive)<br>skal, skulle, har skullet
will, shall (infinitive)	å skulle<br>skal, skulle, har skullet
å spise	to eat<br>spiser, spiste, har spist
to eat	å spise<br>spiser, spiste, har spist
å spørre	oa spörre, spör, spörte, harr spört<br>to ask<br>spør, spurte, har spurt
to ask	å spørre<br>oa spörre, spör, spörte, harr spört<br>spør, spurte, har spurt
å stenge	to close<br>stenger, stengte, har stengt
to close	å stenge<br>stenger, stengte, har stengt
å stå	to stand<br>står, sto, har stått
to stand	å stå<br>står, sto, har stått
sulten	hungry<br>sultent, sultne
hungry	sulten<br>sultent, sultne
å takke	to thank<br>takker, takket, har takket
to thank	å takke<br>takker, takket, har takket
en taxi	a taxi<br>taxien, taxier, taxiene
a taxi	en taxi<br>taxien, taxier, taxiene
en taxisjåfør	a taxi driver
a taxi driver	en taxisjåfør
ti	ten
ten	ti
en time	an hour, appointment, lesson, class, session, one hour
an hour, appointment, lesson, class, session, one hour	en time
utenfor	üütenfor<br>outside
outside	utenfor<br>üütenfor
en vei	a road<br>veien, veier, veiene
a road	en vei<br>veien, veier, veiene
å vente	to wait<br>venter, ventet, har ventet
to wait	å vente<br>venter, ventet, har ventet
ei veske	a handbag<br>veska, vesker, veskene
a handbag	ei veske<br>veska, vesker, veskene
vil (å ville)	wants to, will
wants to, will	vil (å ville)
øst	east
east	øst
et øyeblikk	a moment
a moment	et øyeblikk
åtte	eight
eight	åtte
gul	yellow
yellow	gul
inn	in, inside, into, movement (herein)
in, inside, into, movement (herein)	inn
høyre	right (side)
right (side)	høyre
venstre	left (side)
left (side)	venstre
en italiener	an Italian<br>italieneren, italienere, italienerne
an Italian	en italiener<br>italieneren, italienere, italienerne
en mann	a husband / a man<br>mannen, mange menn, alle mennene
a husband / a man	en mann<br>mannen, mange menn, alle mennene
mye	much
much	mye
å ligge	to stand, lie<br>ligger, lå, har ligget
to stand, lie	å ligge<br>ligger, lå, har ligget
så	so, then
so, then	så
