Hei!	hai<br>Hello!
to play with (ball, cars, dolls)	å leke med (ball, biler, dokker)<br>without fixed/given rules
å spille (kort, fotball)	to play (cards, football)<br>with ruleset
to play (cards, football)	å spille (kort, fotball)<br>with ruleset
en sentralstasjon	sentralstaschon<br>a Central Station
a Central Station	en sentralstasjon<br>sentralstaschon
jeg vil (gjerne) ta	I would like to take<br>å ville is followed by infinitive
I would like to take	jeg vil (gjerne) ta<br>å ville is followed by infinitive
hun	she
she	hun
jeg	I
I	jeg
ham	him
him	ham
henne	her
her	henne
meg	mei<br>me
me	meg<br>mei
Kan du hjelpe meg?	kan dü jelpe mai?<br>Can you help me?
Can you help me?	Kan du hjelpe meg?<br>kan dü jelpe mai?
Jeg skal dra..	yei skal dra<br>I'm going to..
I'm going to..	Jeg skal dra..<br>yei skal dra
Jeg vil snakke	I'll speak
I'll speak	Jeg vil snakke
Jeg må forstå	I must (have to) understand
I must (have to) understand	Jeg må forstå
snart	soon
soon	snart
veldig godt	velde got<br>very good/well
very good/well	veldig godt<br>velde got
en gutt	en güt<br>a boy
a boy	en gutt<br>en güt
Takk, det samme!	Thanks, the same to you!
Thanks, the same to you!	Takk, det samme!
I like måte!	I like mote!<br>Likewise!
Likewise!	I like måte!<br>I like mote!
tjue	chüyä<br>twenty
twenty	tjue<br>chüyä
tretti	thirty
thirty	tretti
førtiåtte	fourty eight
fourty eight	førtiåtte
femti	fifty
fifty	femti
sekstifire	sixty four
sixty four	sekstifire
syttini	söttini<br>seventy nine
seventy nine	syttini<br>söttini
åtti	otti<br>eighty
eighty	åtti<br>otti
nittini	ninety nine
ninety nine	nittini
nitten nittini	nineteen ninety nine (year)
nineteen ninety nine (year)	nitten nittini
flaks	(good) luck
(good) luck	flaks
uflaks	bad luck
bad luck	uflaks
et rule	a rule
a rule	et rule
et spill	a game
a game	et spill
førstemann	first one
first one	førstemann
å kaste	to throw
to throw	å kaste
en terning	a die
a die	en terning
en gang	one time/once
one time/once	en gang
en gang til	one more time
one more time	en gang til
din tur	your turn
your turn	din tur
Hvor mye?	wo müe<br>How much?
How much?	Hvor mye?<br>wo müe
min tur	my turn
my turn	min tur
vant (spillet)	won (the game)
won (the game)	vant (spillet)
å vinne	to win
to win	å vinne
Båkmal	buukmol<br>~written danish, norwegianized
~written danish, norwegianized	Båkmal<br>buukmol
Nynorsk	nünorsch<br>norwegian, invented from dialects
norwegian, invented from dialects	Nynorsk<br>nünorsch
trøndsk	trondelag dialect<br>rolling r, similar pronounciation to oslo
trondelag dialect	trøndsk<br>rolling r, similar pronounciation to oslo
norsk	norschg<br>norwegian
norwegian	norsk<br>norschg
Oslo	ushlo<br>Oslo
Oslo	Oslo<br>ushlo
og	and
and	og
jeg er ikke gift	I'm not married
I'm not married	jeg er ikke gift
jeg har	I have
I have	jeg har
Hun er seks år (gammel).	hün arschecks or (r and s merge together to sch in trondersk)<br>She's six years (old).
She's six years (old).	Hun er seks år (gammel).<br>hün arschecks or (r and s merge together to sch in trondersk)
Hva jobber du med?	wa jobbe (like yak, not jam) dü me?<br>What are you working?
What are you working?	Hva jobber du med?<br>wa jobbe (like yak, not jam) dü me?
Du er flink i norsk!	You are good at Norwegian.
You are good at Norwegian.	Du er flink i norsk!
nei	nai<br>no
no	nei<br>nai
ja	ja (short a)<br>yes
yes	ja<br>ja (short a)
Jeg studerer på NTNU.	I'm studying at NTNU.
I'm studying at NTNU.	Jeg studerer på NTNU.
en norsklærer	norwegian (language) teacher
norwegian (language) teacher	en norsklærer
Østerrike	österigge<br>Austria
Austria	Østerrike<br>österigge
Sveiz	swaiz<br>Switzerland
Switzerland	Sveiz<br>swaiz
Nederland	nederlan<br>the Netherlands
the Netherlands	Nederland<br>nederlan
Usbekistan	Usbekistan
Usbekistan	Usbekistan
Italia	Italy
Italy	Italia
Kanada	Canada
Canada	Kanada
Frankrike	franggrike<br>France
France	Frankrike<br>franggrike
Serbia	Serbia
Serbia	Serbia
Spania	Spain
Spain	Spania
Mexico	Mexico
Mexico	Mexico
Polen	vekt på e<br>Poland
Poland	Polen<br>vekt på e
Hva heter du?	What's your name?
What's your name?	Hva heter du?
Tyskland	tüsklan<br>Germany
Germany	Tyskland<br>tüsklan
Vien	Vienna
Vienna	Vien
Norge	norge<br>Norway
Norway	Norge<br>norge
Jeg heter Ole.	yei heter ule<br>My name is Ole.
My name is Ole.	Jeg heter Ole.<br>yei heter ule
Hvor kommer du fra?	Where are you from?
Where are you from?	Hvor kommer du fra?
Bor du i Mexico nå?	bur dü i mexiko no<br>Do you live in Mexico now?
Do you live in Mexico now?	Bor du i Mexico nå?<br>bur dü i mexiko no
Jeg bor ikke i Mexico nå.	I'm not living in Mexico at the moment.
I'm not living in Mexico at the moment.	Jeg bor ikke i Mexico nå.
Hvor i Kanada kommer du fra?	Where in Canada are you from?
Where in Canada are you from?	Hvor i Kanada kommer du fra?
Jeg kommer fra Quebec	I'm from Quebec.
I'm from Quebec.	Jeg kommer fra Quebec
ikke	igge<br>not
not	ikke<br>igge
fra	from
from	fra
Han heter Tobias.	He's called Tobias
He's called Tobias	Han heter Tobias.
å leve	to live
to live	å leve
Jeg bor i Herman Krags vei i Trondheim i Norge.	I live in Norway, Herman Krags vei in Trondheim.<br>zoom out instead of in (start with most local name)
I live in Norway, Herman Krags vei in Trondheim.	Jeg bor i Herman Krags vei i Trondheim i Norge.<br>zoom out instead of in (start with most local name)
o	u<br>o
o	o<br>u
ø	ö<br>o (in word)
o (in word)	ø<br>ö
æ	ä<br>a (in hammer, jam)
a (in hammer, jam)	æ<br>ä
a	a<br>a
a	a<br>a
men	men<br>but
but	men<br>men
gift	yift<br>married
married	gift<br>yift
å være	to be
to be	å være
nå	now
now	nå
fint	fine
fine	fint
bra	good
good	bra
på	on/at
on/at	på
Hva gjør du i Trondheim?	va yör dü i tronnheim?<br>What are you doing in Trondheim?
What are you doing in Trondheim?	Hva gjør du i Trondheim?<br>va yör dü i tronnheim?
Spørsmal?	spöschmol<br>Question(s)?
Question(s)?	Spørsmal?<br>spöschmol
også	osso<br>also
also	også<br>osso
Jeg forstår litt norsk, men snakker ikke.	I understand a bit of norwegian, but don't speak any.
I understand a bit of norwegian, but don't speak any.	Jeg forstår litt norsk, men snakker ikke.
en antropologi	an anthropology
an anthropology	en antropologi
en arkitektur	an architecture
an architecture	en arkitektur
bare	just, only
just, only	bare
bare bra!	just fine
just fine	bare bra!
å bli	to become, will be, turn out<br>blir, ble, har blitt
to become, will be, turn out	å bli<br>blir, ble, har blitt
å bo	to live<br>bor, bodde, har bodd
to live	å bo<br>bor, bodde, har bodd
en brus	en brüs<br>a (bottle of) soda pop<br>brusen, brus, brusene
a (bottle of) soda pop	en brus<br>en brüs<br>brusen, brus, brusene
en båt	a boat<br>båten, båter, båtene
a boat	en båt<br>båten, båter, båtene
ei dame	a lady<br>dama, damer, damene
a lady	ei dame<br>dama, damer, damene
de	di<br>they
they	de<br>di
deg	dai<br>you (singular, used as object)
you (singular, used as object)	deg<br>dai
den	it
it	den
der	there
there	der
der borte	over there
over there	der borte
dere	you (plural)
you (plural)	dere
det	it, that
it, that	det
det går bra!	I'm fine!
I'm fine!	det går bra!
du	you (singular, subject)
you (singular, subject)	du
ei	a, an, one (feminine)
a, an, one (feminine)	ei
en ekspeditør	a shop assistant<br>ekspeditøren, ekspeditører, ekspeditørene
a shop assistant	en ekspeditør<br>ekspeditøren, ekspeditører, ekspeditørene
en	a, an, one (masculin)
a, an, one (masculin)	en
engelsk	English
English	engelsk
er (å være)	är<br>am, are, is
am, are, is	er (å være)<br>är
et	a, an (neutrum)
a, an (neutrum)	et
en familie	a family <br>familien, familier, familiene
a family 	en familie<br>familien, familier, familiene
flink	good, clever / being good at<br>flinkt, flinke
good, clever / being good at	flink<br>flinkt, flinke
et fly	a plane<br>flyet, fly, flyene
a plane	et fly<br>flyet, fly, flyene
gammel	old<br>gammelt, gamle
old	gammel<br>gammelt, gamle
å gjøre	oa yör<br>to do<br>gjør, gjorde, har gjort
to do	å gjøre<br>oa yör<br>gjør, gjorde, har gjort
god	good
good	god
å ha	to have<br>har, hadde, har hatt
to have	å ha<br>har, hadde, har hatt
ha det bra!	goodbye! be fine!
goodbye! be fine!	ha det bra!
ha det!	so long
so long	ha det!
hallo	hello
hello	hallo
han	he, him
he, him	han
her	here
here	her
å hete	to be called<br>heter, het, har hett
to be called	å hete<br>heter, het, har hett
å hilse	to greet<br>hilser, hilste, har hilst
to greet	å hilse<br>hilser, hilste, har hilst
hva	what
what	hva
hvor	where
where	hvor
hvor langt	how far
how far	hvor langt
hvordan	wodang<br>how
how	hvordan<br>wodang
hyggelig	nice, pleasant
nice, pleasant	hyggelig
hyggelig å hilse på deg!	hügeli o hilse po dei<br>(ü nid würkli forme)<br>nice to meet you!
nice to meet you!	hyggelig å hilse på deg!<br>hügeli o hilse po dei<br>(ü nid würkli forme)
i	in, at, on
in, at, on	i
italiensk	italian
italian	italiensk
ei jente	a girl<br>jenta, jenter, jentene
a girl	ei jente<br>jenta, jenter, jentene
å jobbe	oa yobbe<br>to work<br>jobber, jobbet, har jobbet
to work	å jobbe<br>oa yobbe<br>jobber, jobbet, har jobbet
kanskje	kansche<br>perhaps, maybe
perhaps, maybe	kanskje<br>kansche
et kart	a map<br>kartet, kart, kartene
a map	et kart<br>kartet, kart, kartene
en kilometer	en chylometer<br>a kilometer<br>kilometeren, kilometer, kilometerne
a kilometer	en kilometer<br>en chylometer<br>kilometeren, kilometer, kilometerne
å komme	to come<br>kommer, kom, han kommet
to come	å komme<br>kommer, kom, han kommet
å koste	to cost<br>koster, kostet, har kostet
to cost	å koste<br>koster, kostet, har kostet
ei krone	ai krune<br>a crown<br>krona, kroner, kronene
a crown	ei krone<br>ai krune<br>krona, kroner, kronene
langt	far
far	langt
ledig	vacant<br>ledig, ledige
vacant	ledig<br>ledig, ledige
litt	a little/some (not just little)
a little/some (not just little)	litt
med	me<br>with
with	med<br>me
en morgen	en moan<br>a morning<br>morgen, morgener, morgenene
a morning	en morgen<br>en moan<br>morgen, morgener, morgenene
å møte	to meet<br>møter, møtte, har møtt
to meet	å møte<br>møter, møtte, har møtt
neste	next
next	neste
OK	uukaa<br>OK, allright
OK, allright	OK<br>uukaa
over	of, over
of, over	over
en professor	a professor<br>professoren, professorer, professorene
a professor	en professor<br>professoren, professorer, professorene
å reise	to travel<br>reiser, reiste, har reist
to travel	å reise<br>reiser, reiste, har reist
sammen	together
together	sammen
seinere	later
later	seinere
seks	six
six	seks
å ses	to see one another, to meet<br>ses, sås, har settes
to see one another, to meet	å ses<br>ses, sås, har settes
å snakke	to speak/talk<br>snakker, snakket, har snakket
to speak/talk	å snakke<br>snakker, snakket, har snakket
spansk	Spanish
Spanish	spansk
å stoppe	to stop<br>stopper, stoppet, har stoppet
to stop	å stoppe<br>stopper, stoppet, har stoppet
å studere	to study<br>studerer, studerte, har studert
to study	å studere<br>studerer, studerte, har studert
å ta	to take<br>tar, tok, har tatt
to take	å ta<br>tar, tok, har tatt
takk	thanks
thanks	takk
til	to
to	til
tilbake	back
back	tilbake
et tog	a train<br>toget, tog, togene
a train	et tog<br>toget, tog, togene
en tur	a trip<br>turen, turer, turene
a trip	en tur<br>turen, turer, turene
(en) tusen	(one) thousand
(one) thousand	(en) tusen
tysk	German
German	tysk
velkommen	welcome
welcome	velkommen
vi	we
we	vi
vær så god!	wä scho gud<br>you're welcome! please! here you are!
you're welcome! please! here you are!	vær så god!<br>wä scho gud
å være	to be, exist<br>er, var, har vært
to be, exist	å være<br>er, var, har vært
å	o<br>to (infinitive marker)
to (infinitive marker)	å<br>o
en student	a student
a student	en student
en turist	a tourist<br>turisten, turister, turistene
a tourist	en turist<br>turisten, turister, turistene
en by	en bi<br>a city<br>byen, byer, byene
a city	en by<br>en bi<br>byen, byer, byene
en dag	a day<br>dagen, dager, dagene
a day	en dag<br>dagen, dager, dagene
en bensinstasjon	a petrol station
a petrol station	en bensinstasjon
et år	a year
a year	et år
av	off (the train), of, by, from
off (the train), of, by, from	av
å dra	to leave, to go (travel, move)<br>drar, dro, har dratt
to leave, to go (travel, move)	å dra<br>drar, dro, har dratt
å få	to get, receive<br>får, fikk, har fått
to get, receive	å få<br>får, fikk, har fått
å hjelpe	yelpe<br>to help<br>hjelper, hjalp, har hjulpet
to help	å hjelpe<br>yelpe<br>hjelper, hjalp, har hjulpet
å kjøre	chjöre<br>to drive
to drive	å kjøre<br>chjöre
et nummer	nummer<br>a number
a number	et nummer<br>nummer
å se	oa se<br>to see<br>ser, så, har sett
to see	å se<br>oa se<br>ser, så, har sett
å spørre	oa spörre, spör, spörte, harr spört<br>to ask<br>spør, spurte, har spurt
to ask	å spørre<br>oa spörre, spör, spörte, harr spört<br>spør, spurte, har spurt
et bord	e bur<br>a table
a table	et bord<br>e bur
en stol	a chair
a chair	en stol
å spille	to play (specific games/instruments)<br>spiller, spilte, har spilt
to play (specific games/instruments)	å spille<br>spiller, spilte, har spilt
en mann	a husband / a man<br>mannen, mange menn, alle mennene
a husband / a man	en mann<br>mannen, mange menn, alle mennene
